Date,Close
2023-01-02,100.0
2023-01-03,100.99342830602247
2023-01-04,100.71415259027017
2023-01-05,102.01878063541501
2023-01-06,105.12633361185657
2023-01-09,104.63401989610642
2023-01-10,104.14404607586974
2023-01-11,107.43335832030586
2023-01-12,109.08232012519647
2023-01-13,108.05809302005375
2023-01-16,109.23065309322926
2023-01-17,108.21826474841201
2023-01-18,107.21025543295045
2023-01-19,107.72907217174507
2023-01-20,103.60675406051479
2023-01-23,100.03249130755931
2023-01-24,98.90755085993638
2023-01-25,96.90401794899631
2023-01-26,97.51305453216105
2023-01-27,95.74217050830475
2023-01-30,93.03783007264968
2023-01-31,95.76504569483193
2023-02-01,95.33261614017387
2023-02-02,95.46136894849685
2023-02-03,92.74120070324037
2023-02-06,91.73146655294903
2023-02-07,91.93496838950776
2023-02-08,89.81863722637084
2023-02-09,90.49353090669996
2023-02-10,89.40645258970142
2023-02-13,88.88486652146932
2023-02-14,87.81521428320741
2023-02-15,91.06837839690266
2023-02-16,91.04379498950782
2023-02-17,89.11783465002736
2023-02-20,90.58390307940802
2023-02-21,88.3721274221263
2023-02-22,88.74128182675838
2023-02-23,85.26320905174451
2023-02-24,82.99830095680775
2023-02-27,83.32508391883566
2023-02-28,84.55573971382313
2023-03-01,84.8455431494132
2023-03-02,84.64929832274267
2023-03-03,84.1395339916623
2023-03-06,81.6514909663435
2023-03-07,80.4759639087652
2023-03-08,79.73455692663043
2023-03-09,81.42034037312762
2023-03-10,81.97989073502953
2023-03-13,79.0892139490674
2023-03-14,79.60184487692595
2023-03-15,78.9887796779149
2023-03-16,77.9193948230889
2023-03-17,78.87262374817116
2023-03-20,80.4989764966185
2023-03-21,81.99831842502856
2023-03-22,80.62202991108708
2023-03-23,80.12344332279199
2023-03-24,80.65428265821153
2023-03-27,82.22792050678687
2023-03-28,81.43989048401802
2023-03-29,81.1374895494805
2023-03-30,79.34218470164772
2023-03-31,77.44399176346487
2023-04-03,78.70249662540684
2023-04-04,80.83728615084357
2023-04-05,80.72086409476464
2023-04-06,82.34098494807198
2023-04-07,82.93653427797453
2023-04-10,81.8664543451504
2023-04-11,82.45817788192826
2023-04-12,84.9946517376595
2023-04-13,84.93375130331368
2023-04-14,87.59157240613797
2023-04-17,83.00222054672793
2023-04-18,84.36661520544914
2023-04-19,84.51349253566538
2023-04-20,84.00808942603125
2023-04-21,84.16226237645117
2023-04-24,80.8166964468128
2023-04-25,80.46163332126754
2023-04-26,81.03631053693539
2023-04-27,83.4315721519426
2023-04-28,82.56677016974058
2023-05-01,81.23167605986482
2023-05-02,80.41650474736053
2023-05-03,81.88877352223918
2023-05-04,82.42719402552132
2023-05-05,81.5538610834632
2023-05-08,82.39103990223904
2023-05-09,82.55100630707797
2023-05-10,84.15025868153397
2023-05-11,82.96869969237495
2023-05-12,82.42498564754237
2023-05-15,81.77859546965831
2023-05-16,79.38491153151642
2023-05-17,79.85506117146561
2023-05-18,80.27199286604677
2023-05-19,80.28020221314925
